0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
9,11,10,12,13,15,13,16,16,17,16,20,18,20,19,20,22,20,21,22,23,23,23,24,24,27,24,27,26,28,27,28,29,29,30,30,30,31,31,33,32,34,33,34,35,36,36,35,36,37,38,38,1.6196528084599902
16,16,20,15,21,19,22,19,22,17,25,20,24,19,22,23,20,22,24,24,23,23,26,25,24,25,24,26,27,25,26,28,27,27,27,30,28,26,30,29,27,29,31,30,30,28,31,32,29,33,33,31,2.5269241282449433
21,20,23,21,22,24,20,24,23,19,22,26,23,22,22,27,23,23,26,24,23,23,25,26,25,26,25,24,27,24,25,27,26,26,26,26,26,28,26,26,27,26,28,27,29,27,28,28,29,29,28,30,3.0316624881918735
22,24,22,21,26,23,24,23,25,22,23,25,23,25,25,26,25,26,25,26,25,24,24,23,23,21,27,25,25,26,26,24,24,25,29,25,27,25,24,26,25,26,28,23,28,29,26,28,26,30,26,27,3.2126683270281653
22,27,23,24,25,24,26,22,23,24,25,24,21,24,27,29,24,25,27,21,23,23,26,26,26,25,24,24,26,26,26,26,25,26,26,23,27,26,26,26,27,26,23,23,28,25,28,25,25,26,25,27,3.342456216750965
26,25,24,25,23,24,24,27,25,26,26,24,24,24,24,26,23,25,26,26,26,24,25,24,27,25,24,25,27,25,23,25,23,24,24,25,27,25,24,25,27,25,26,25,24,26,27,24,27,24,26,26,3.3653752928382774
28,26,25,24,25,25,25,26,26,26,23,24,24,23,24,23,26,26,26,25,24,26,27,26,24,24,24,28,25,27,25,27,23,26,24,25,23,21,28,24,25,26,27,25,27,24,23,24,26,24,25,24,3.3547865281887295
27,24,21,25,29,28,26,26,25,23,28,25,23,26,23,25,23,25,26,25,24,24,24,22,25,25,24,24,27,24,25,25,27,26,24,26,27,26,25,26,24,27,23,26,24,26,26,25,25,24,23,25,3.3741157782581177
27,25,24,23,25,23,26,26,26,25,25,26,28,28,26,23,27,25,25,26,24,24,28,26,26,24,28,24,23,24,26,27,24,22,24,26,23,25,26,25,24,26,26,26,23,24,28,22,24,24,24,25,3.377532923480298
27,26,23,23,27,23,28,25,26,25,24,25,24,24,22,23,23,28,24,24,24,25,26,25,29,27,27,25,26,23,23,29,24,26,25,26,25,23,25,25,29,25,25,21,23,25,26,22,24,25,26,27,3.3635409629300086
27,28,24,24,23,26,25,28,26,25,27,22,26,25,22,22,27,23,24,29,26,25,25,23,24,24,22,27,26,26,24,23,28,22,27,24,24,25,24,26,24,26,23,24,23,25,26,25,26,27,28,26,3.370313079135772
23,25,24,26,27,26,25,25,26,24,26,24,25,24,26,25,27,25,25,25,24,25,25,23,25,25,24,26,24,28,23,27,22,24,25,24,24,25,25,24,27,22,27,26,28,22,26,25,26,24,26,26,3.37035282502948
22,27,24,25,24,25,26,25,28,25,23,25,24,23,23,26,23,24,26,25,25,24,28,24,24,22,27,26,26,25,24,26,25,25,26,26,26,26,27,23,24,24,25,26,24,24,24,25,24,28,25,27,3.3747762166819797
25,25,25,27,25,22,22,27,25,27,26,26,25,24,25,24,29,25,22,26,25,24,26,22,26,26,24,22,22,26,25,24,26,28,27,24,26,27,23,27,20,24,28,23,26,28,25,25,26,24,24,27,3.3819852627615092
24,25,25,26,24,24,24,25,27,25,28,23,24,22,27,23,27,23,27,25,25,26,26,25,23,23,27,24,24,22,23,25,28,25,23,28,25,25,26,24,27,28,26,24,25,26,26,27,23,23,26,25,3.3814885648037314
22,27,24,25,24,23,23,27,23,24,23,26,23,27,28,24,25,25,26,24,26,24,25,27,26,25,25,25,26,27,26,26,27,26,23,26,26,25,25,25,26,25,24,28,24,21,23,25,24,26,25,25,3.3741256467972933
25,24,24,25,25,25,25,24,25,25,29,25,23,24,25,23,25,25,26,24,28,25,24,24,24,25,28,27,27,24,27,26,23,24,26,26,23,23,24,22,26,27,22,27,24,22,27,27,26,25,26,25,3.379161441525688
26,23,26,25,23,24,27,24,26,26,27,26,22,25,23,25,24,27,23,25,25,22,25,24,22,28,23,24,28,26,23,25,24,27,24,26,26,23,22,27,25,28,26,24,25,25,26,27,27,25,27,23,3.3529120732483553
25,27,25,25,25,24,28,26,24,24,26,25,26,25,25,21,24,27,26,25,27,25,23,25,24,24,25,25,24,22,28,27,26,23,25,22,25,25,25,26,27,24,25,25,28,23,26,25,26,25,25,22,3.3591270740532284
