0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
47,48,47,47,46,45,43,43,43,42,41,40,38,37,36,35,34,34,33,32,31,29,28,28,27,25,24,24,23,22,21,20,19,18,16,14,14,14,12,12,11,11,9,7,5,4,4,4,3,3,4,4,0.8312053899250647
4,5,4,4,5,6,6,7,7,8,10,10,11,13,14,14,15,16,18,19,19,20,22,22,24,25,26,26,27,28,29,30,32,33,34,34,36,36,37,38,39,40,42,43,44,45,45,46,45,45,45,45,1.444492412228992
45,44,44,44,44,44,42,41,40,43,42,39,38,37,36,36,36,34,33,32,30,29,28,28,27,26,26,24,22,21,20,19,19,18,17,16,14,13,13,11,11,10,8,8,7,6,6,6,6,6,6,7,1.9040832000442278
7,7,6,7,7,6,7,8,9,9,9,11,13,12,13,14,17,16,17,19,19,20,22,21,24,25,26,27,28,28,31,31,33,31,32,34,35,36,37,38,39,40,41,41,43,43,43,44,43,43,43,44,2.25664089617201
43,42,43,42,42,42,43,42,43,41,39,38,38,36,37,35,33,34,33,32,30,28,29,29,27,25,24,22,22,22,22,20,20,16,15,14,15,14,13,12,12,11,10,9,8,8,7,7,8,8,7,7,2.518507289548324
8,8,8,8,8,9,10,9,11,11,11,9,12,13,14,16,16,17,15,17,19,21,22,25,24,26,25,26,27,29,29,31,30,31,33,35,35,36,36,37,37,39,39,41,41,41,42,43,43,42,42,42,2.718822632795916
43,43,41,40,42,42,41,40,39,40,40,38,35,37,36,33,35,33,32,31,31,30,29,28,25,25,25,24,23,22,22,20,18,19,17,16,13,13,12,11,13,12,12,11,10,9,8,8,9,9,8,8,2.8624591507173465
10,9,9,9,10,10,10,9,11,10,11,12,14,15,16,14,15,17,19,20,18,20,21,21,22,24,26,28,27,31,29,29,32,34,33,34,35,36,36,38,37,36,39,39,41,38,41,41,41,41,42,42,2.9795804178901695
40,40,41,40,41,40,40,39,38,37,38,37,36,37,36,35,34,33,33,31,29,30,27,26,27,26,26,23,22,21,21,20,17,19,18,17,16,14,12,13,13,14,12,10,9,11,8,10,11,9,9,10,3.0711440662319047
9,10,11,10,9,10,12,10,11,14,12,12,14,14,15,14,18,18,20,21,19,21,21,22,21,24,25,25,28,29,29,30,33,33,30,33,36,36,35,37,38,37,38,39,39,39,39,39,41,40,39,41,3.1492006674502244
40,39,39,40,40,38,39,38,39,36,36,37,35,36,32,33,35,32,33,34,32,30,27,28,24,25,22,26,21,21,21,21,20,19,18,18,16,13,14,16,13,13,12,13,12,12,11,11,10,10,10,10,3.2086762353998832
11,10,10,9,12,12,13,13,14,12,11,11,14,15,15,18,18,19,19,19,23,22,20,23,25,25,23,27,30,29,30,31,31,32,30,30,33,36,35,34,36,38,37,37,40,37,40,39,38,39,38,39,3.246581448298993
39,38,39,40,37,37,37,37,37,39,36,35,35,36,33,33,32,30,31,30,30,30,29,29,26,25,26,25,23,23,24,21,20,17,17,17,16,15,17,15,14,14,14,11,11,11,12,11,12,13,13,10,3.2603483155049395
12,12,13,11,11,12,11,12,12,13,15,15,17,18,15,17,16,20,20,19,22,21,22,24,23,24,25,26,28,27,29,29,31,32,31,33,34,32,36,34,36,37,35,38,37,37,38,37,37,39,38,38,3.2830757112529305
38,39,36,38,38,37,36,37,36,37,37,35,35,34,33,33,33,31,31,31,28,30,27,27,26,24,26,22,21,21,24,21,20,17,19,19,17,18,17,18,17,12,13,13,13,12,12,11,14,12,12,11,3.296289896126548
12,11,13,12,12,13,14,13,15,14,16,14,16,16,17,18,18,20,21,19,21,21,26,25,22,24,23,26,26,29,30,29,29,29,31,34,31,32,34,36,34,35,35,36,38,37,38,38,36,38,37,36,3.301131848085544
36,37,37,37,38,37,36,36,35,37,36,34,34,33,32,33,33,32,27,29,27,27,28,27,28,25,26,24,22,23,22,22,19,20,19,18,21,17,18,16,19,16,14,11,13,15,11,14,13,13,13,13,3.3190719140365763
13,15,12,13,13,15,14,13,16,13,14,16,16,17,19,18,19,20,18,23,20,21,23,22,24,26,26,28,28,27,27,27,28,30,32,31,31,32,33,35,36,34,35,36,35,36,35,38,37,37,36,36,3.330350809640554
35,36,36,36,36,37,36,36,36,34,34,34,36,32,31,33,31,31,31,30,28,24,25,28,27,27,25,22,22,23,22,22,20,22,22,18,20,17,17,16,15,16,16,14,13,14,13,15,16,13,13,15,3.3409973960094264
