0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
48,48,47,47,46,45,44,43,42,42,40,40,39,38,36,35,34,33,32,31,31,30,29,27,27,25,24,23,22,22,21,19,18,17,17,16,14,13,12,12,11,10,8,7,6,5,4,3,4,4,4,4,0.8594149593756558
38,39,35,38,33,36,32,35,30,34,29,34,29,34,27,33,26,33,25,32,24,31,22,30,21,29,20,29,19,28,18,28,16,27,15,26,13,26,11,25,9,25,8,24,8,24,6,25,6,25,5,25,2.4308472488113946
17,16,16,16,15,18,14,18,16,17,17,18,19,17,19,19,22,18,23,20,23,23,24,22,26,24,25,23,27,25,27,29,27,29,29,29,29,31,30,32,30,32,33,35,36,33,35,33,36,36,33,36,2.7275212011720265
21,21,22,18,23,22,23,20,24,20,25,19,25,21,25,19,25,20,26,20,27,19,28,22,27,20,31,22,28,19,31,22,32,19,33,24,35,19,32,24,34,23,32,23,36,24,36,24,33,21,36,26,3.1838601458339246
28,31,33,29,25,28,32,27,27,30,27,28,28,26,27,29,27,27,26,25,26,23,24,25,29,23,27,24,25,23,23,24,24,20,24,22,24,20,22,24,22,20,25,21,21,20,22,22,22,21,22,22,3.2322686085667063
25,27,29,28,26,27,26,29,24,26,24,29,26,28,23,27,26,26,24,27,25,25,22,25,24,27,25,25,24,25,21,26,26,28,22,26,21,26,21,25,22,26,21,25,23,25,20,28,22,23,22,25,3.326357461298234
23,25,26,24,23,25,23,24,24,24,24,23,23,23,24,22,23,26,24,26,24,25,25,26,22,22,25,25,24,24,25,25,27,25,26,25,28,25,28,26,25,24,27,26,29,26,25,28,28,29,26,25,3.344130635726742
23,24,26,24,24,25,26,21,27,21,24,25,26,24,26,26,25,25,23,24,28,23,26,22,26,25,27,24,25,24,23,24,26,25,25,26,28,23,25,25,24,24,28,26,29,24,28,27,26,24,25,22,3.36168197623283
26,24,24,27,24,26,28,26,25,26,27,27,26,25,25,28,24,24,24,26,27,26,26,23,26,24,23,24,26,26,25,23,25,24,23,27,25,22,26,25,22,27,25,24,24,22,25,26,25,25,22,24,3.36752342609429
26,24,25,24,24,26,25,26,24,25,24,26,26,25,25,26,24,24,27,26,24,25,22,24,25,27,25,24,21,28,27,28,26,24,24,26,23,24,24,23,25,25,27,26,25,26,25,27,23,24,24,25,3.3734669770275496
23,27,26,28,24,24,23,25,24,24,27,25,24,23,25,24,26,25,24,26,25,24,26,25,25,23,28,26,24,24,25,25,25,24,26,27,25,26,24,24,27,25,27,23,26,28,23,25,24,25,24,25,3.3659267349970423
24,24,25,25,24,24,25,25,26,26,25,26,25,26,25,24,26,25,26,26,24,24,25,26,25,25,25,26,26,26,24,24,27,25,23,25,26,25,28,27,23,22,23,25,24,24,25,28,25,25,25,24,3.3685749154661817
25,21,26,27,25,24,28,22,26,24,27,24,26,25,25,24,25,25,25,29,26,24,24,26,24,27,24,25,23,26,23,29,24,25,25,25,27,25,24,25,26,27,26,25,27,21,26,23,24,24,24,25,3.3630074070276588
26,23,26,26,23,22,25,25,23,25,27,23,24,24,28,25,26,26,24,24,27,27,25,25,25,28,23,26,26,26,27,25,26,24,25,22,27,27,22,25,27,23,25,27,24,26,24,25,24,24,25,24,3.3655253557199347
24,23,24,25,25,23,25,24,26,24,26,24,26,25,26,25,27,26,24,24,24,26,26,26,25,24,23,27,26,27,25,24,26,27,24,25,27,25,25,24,26,23,23,23,24,24,26,25,25,26,22,28,3.363894870821517
26,25,24,29,23,25,24,24,28,24,26,25,24,27,27,25,25,25,24,24,29,24,25,23,24,26,24,24,27,25,22,24,25,25,23,27,24,27,25,23,26,25,25,23,25,26,26,23,22,26,28,25,3.3618630271343313
26,25,27,23,25,25,23,25,26,25,26,23,27,23,25,23,25,29,24,23,24,23,24,24,23,24,24,26,27,26,26,25,28,24,26,23,23,24,25,26,27,22,26,26,24,27,26,26,25,25,24,26,3.370899326989344
26,25,26,25,24,26,24,26,27,24,27,26,28,25,22,25,27,28,21,27,22,24,26,22,24,24,27,27,26,26,22,22,25,24,26,22,24,25,27,28,25,26,26,27,25,20,24,24,24,25,26,26,3.365599356721028
26,26,24,24,26,23,25,24,26,26,27,27,25,24,24,27,25,26,25,23,22,24,25,28,26,21,25,26,25,22,23,24,27,26,25,24,23,25,27,25,25,25,26,28,28,24,23,26,25,24,25,28,3.3639483076745917
