0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
45,46,47,48,49,50,51,38,39,40,41,42,43,44,32,33,34,35,36,37,29,30,31,24,25,26,27,28,17,18,19,20,21,22,23,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,0.7492371052659751
8,16,0,1,2,3,4,5,6,7,12,13,14,15,10,11,19,20,21,22,23,9,18,25,26,27,28,17,30,31,24,37,29,43,44,32,33,34,35,36,41,42,49,50,51,38,39,40,48,45,46,47,1.7239770687105043
45,46,47,49,50,51,38,39,40,48,41,42,34,35,36,44,32,33,37,29,43,27,28,17,30,31,24,18,25,26,20,21,22,23,9,14,15,10,11,19,5,6,7,12,13,8,16,0,1,2,3,4,2.0837931809825094
1,2,3,4,5,6,7,12,13,8,16,0,20,21,22,23,9,14,15,10,11,19,27,28,17,30,31,24,18,25,26,33,37,29,43,34,35,36,44,32,50,51,38,39,40,48,41,42,49,45,46,47,2.266276863237101
42,49,45,46,47,48,41,38,39,40,43,34,35,36,44,32,50,51,29,18,25,26,33,37,24,30,31,27,28,17,15,10,11,19,23,9,14,7,12,13,8,16,0,20,21,22,1,2,3,4,5,6,2.4856594929866636
3,4,5,6,2,21,22,1,16,0,20,13,8,15,10,11,19,23,9,14,7,12,24,30,31,27,28,17,33,37,25,26,35,36,44,32,50,51,29,18,46,47,48,41,38,39,40,43,34,49,45,42,2.9006892717433232
38,39,40,43,34,49,45,42,50,51,29,18,46,47,48,41,25,26,35,36,44,32,27,28,17,33,37,9,14,7,12,24,30,31,8,15,10,11,19,23,6,2,21,22,1,16,0,20,13,5,3,4,3.0644242174794294
0,20,13,5,3,4,10,11,19,23,6,2,21,22,1,16,30,31,8,15,14,7,12,24,32,27,28,17,33,37,9,46,47,48,41,25,26,35,36,44,51,29,18,49,45,42,50,34,43,38,39,40,3.0340415731709474
34,43,38,39,40,51,29,18,49,45,42,50,36,44,46,47,48,41,25,26,35,24,32,27,28,17,33,37,9,14,7,12,6,2,21,22,1,16,30,31,8,15,0,20,13,5,3,4,10,11,19,23,3.088421360230122
23,3,4,10,11,19,1,16,30,31,8,15,0,20,13,5,37,9,14,7,12,6,2,21,22,26,35,24,32,27,28,17,33,25,47,48,41,44,46,29,18,49,45,42,50,36,34,43,38,39,40,51,3.2545686520566033
40,51,36,34,43,38,39,18,49,45,42,50,25,47,48,41,44,46,29,32,27,28,17,33,22,26,35,24,7,12,6,2,21,37,9,14,0,20,13,5,8,15,16,30,31,23,3,4,10,11,19,1,3.2959362496084523
19,1,15,16,30,31,23,3,4,10,11,20,13,5,8,7,12,6,2,21,37,9,14,0,32,27,28,17,33,22,26,35,24,41,44,46,29,18,49,45,42,50,25,47,48,40,51,36,34,43,38,39,3.2325547714160616
36,34,43,38,39,47,48,40,51,29,18,49,45,42,50,25,26,35,24,41,44,46,14,0,32,27,28,17,33,22,12,6,2,21,37,9,11,20,13,5,8,7,1,15,16,30,31,23,3,4,10,19,3.146041672243937
19,16,30,31,23,3,4,10,8,7,1,15,11,20,13,5,22,12,6,2,21,37,9,27,28,17,33,25,26,35,24,41,44,46,14,0,32,50,47,48,40,51,29,18,49,45,42,36,34,43,38,39,3.1242778097069412
39,49,45,42,36,34,43,38,14,0,32,50,47,48,40,51,29,18,33,25,26,35,24,41,44,46,12,6,2,21,37,9,27,28,17,22,11,20,13,5,1,15,19,16,30,31,23,3,4,10,8,7,3.1863281058023714
8,7,31,23,3,4,10,30,15,19,16,20,13,5,1,27,28,17,22,11,37,9,35,24,41,44,46,12,6,2,21,33,25,26,14,0,32,50,47,48,40,51,29,18,39,49,45,42,36,34,43,38,3.3078876659458296
36,34,43,38,45,42,49,50,47,48,40,51,29,18,39,26,14,0,32,2,21,33,25,41,44,46,12,6,1,27,28,17,22,11,37,9,35,24,3,4,10,30,15,19,16,20,13,5,8,7,31,23,3.3712691441382208
23,13,5,8,7,31,16,20,24,3,4,10,30,15,19,9,35,37,11,1,27,28,17,22,6,12,41,44,46,14,0,32,2,21,33,25,47,48,40,51,29,18,39,26,36,34,43,38,45,42,49,50,3.3778037224765054
34,43,38,45,42,49,50,51,29,18,39,26,36,21,33,25,47,48,40,32,2,41,44,46,14,0,1,27,28,17,22,6,12,35,37,11,19,9,20,24,3,4,10,30,15,23,13,5,8,7,31,16,3.2812281590012167
