0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
25,0,26,1,27,2,28,3,29,4,30,5,31,6,32,7,33,8,34,9,35,10,36,37,11,38,12,39,13,40,14,41,15,42,43,16,44,17,45,18,46,19,47,20,48,21,49,22,50,23,51,24,1.4814508434440814
25,39,0,13,26,40,1,14,27,2,41,28,15,3,42,29,43,4,16,30,44,5,17,31,45,6,18,32,46,7,19,33,47,8,20,34,48,9,21,35,49,10,22,36,50,37,23,11,51,38,24,12,1.657289038659444
25,39,0,13,46,26,7,40,19,1,33,14,47,27,8,2,20,41,34,28,48,15,9,3,21,42,35,29,49,43,10,4,22,16,36,30,50,44,37,5,23,17,11,31,51,45,38,6,24,18,12,32,2.1301777550884955
25,35,39,29,0,49,13,43,46,10,26,4,7,22,40,16,19,36,1,30,33,50,14,44,47,37,27,5,8,23,2,17,20,11,41,31,34,51,28,45,48,38,15,6,9,24,18,3,12,21,32,42,2.6875419021434457
44,47,37,27,5,8,23,25,2,35,17,39,20,29,11,0,41,49,31,13,34,43,51,46,28,10,45,26,48,4,38,7,15,22,6,40,9,16,24,19,18,36,3,1,12,30,21,33,32,50,42,14,3.0464959927410207
44,47,37,27,5,8,23,25,38,2,7,35,15,17,22,39,6,20,40,29,9,11,16,0,24,41,19,49,18,31,36,13,3,34,1,43,12,51,30,46,21,28,33,10,32,45,50,26,42,48,14,4,3.1229466276099807
44,47,37,27,5,8,31,23,36,25,13,38,3,2,34,7,1,35,43,15,12,17,51,22,30,39,46,6,21,20,28,40,33,29,10,9,32,11,45,16,50,0,26,24,42,41,48,19,14,49,4,18,3.323153526490318
46,44,6,47,21,37,20,27,28,5,40,8,33,31,29,23,10,36,9,25,32,11,13,45,38,16,3,50,2,0,34,26,7,24,1,42,35,41,43,48,15,19,12,17,14,51,49,22,4,30,18,39,3.3030285978839893
46,44,6,47,2,21,0,37,34,20,26,27,7,28,24,5,1,40,42,8,35,33,41,31,43,29,48,23,15,10,19,36,12,9,17,25,14,32,51,11,49,13,22,45,4,38,30,16,18,3,39,50,3.3612066798350564
46,44,23,6,15,47,10,2,19,21,36,0,12,37,9,34,17,20,25,26,14,27,32,7,51,28,11,24,49,5,13,1,22,40,45,42,4,8,38,35,30,33,16,41,18,31,3,43,39,29,50,48,3.2711656946980523
32,7,51,28,11,24,49,5,13,46,1,44,22,23,40,6,45,15,42,47,4,10,8,2,38,19,35,21,30,36,33,0,16,12,41,37,18,9,31,34,3,17,43,20,39,25,29,26,50,14,48,27,3.46784470761351
32,7,35,51,21,28,30,11,36,24,33,49,0,5,16,13,12,46,41,1,37,44,18,22,9,23,31,40,34,3,6,17,43,45,20,15,39,42,25,47,29,4,26,10,50,8,14,2,48,38,27,19,3.4311227363657317
32,7,35,51,21,28,30,11,36,24,17,33,43,49,45,0,20,5,15,16,39,13,42,12,25,46,47,41,29,1,4,37,26,44,10,18,50,22,8,9,14,23,2,31,48,40,38,34,27,3,19,6,3.5045666788612877
39,13,42,12,25,46,47,41,29,1,4,37,26,32,44,7,10,35,18,51,50,21,22,28,8,30,9,11,14,36,23,24,2,17,31,33,48,43,40,49,38,45,34,0,27,20,3,5,19,15,6,16,3.4376573147040173
51,50,21,22,28,8,30,9,11,14,36,23,24,2,17,39,31,13,33,42,48,12,43,25,40,46,49,47,38,41,45,29,34,1,0,4,27,37,20,26,3,32,5,44,19,7,15,10,6,35,16,18,3.38786618677967
49,51,47,50,38,21,41,22,45,28,29,8,34,30,1,9,0,11,4,14,27,36,37,23,20,24,26,2,3,17,32,39,5,31,44,13,19,33,7,42,15,48,10,12,6,43,35,25,16,40,18,46,3.447719779007181
23,20,24,26,2,3,17,49,32,51,39,47,5,50,31,38,44,21,13,41,19,22,33,45,7,28,42,29,15,8,48,34,10,30,12,1,6,9,43,0,35,11,25,4,16,14,40,27,18,36,46,37,3.434650622330613
7,28,42,29,15,23,8,20,48,24,34,26,10,2,30,3,12,17,1,49,6,32,9,51,43,39,0,47,35,5,11,50,25,31,4,38,16,44,14,21,40,13,27,41,18,19,36,22,46,33,37,45,3.3345471728904434
32,9,51,43,39,0,47,35,5,11,50,7,25,28,31,42,4,29,38,15,16,23,44,8,14,20,21,48,40,24,13,34,27,26,41,10,18,2,19,30,36,3,22,12,46,17,33,1,37,49,45,6,3.4245881580274475
