0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,entropy
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0.0
24,25,26,27,28,29,0,30,1,31,2,32,3,33,4,34,5,35,6,36,7,37,8,38,9,10,39,11,40,12,41,13,42,14,43,15,44,16,45,17,46,18,47,19,48,20,49,21,50,22,51,23,1.5837259019784742
21,50,22,51,23,20,49,16,45,17,46,18,47,19,48,14,43,15,44,40,12,41,13,42,11,8,38,9,10,39,33,4,34,5,35,6,36,7,37,28,29,0,30,1,31,2,32,3,24,25,26,27,2.122954520391244
41,13,42,11,8,38,9,10,39,33,4,21,34,50,5,22,35,51,6,23,36,20,7,49,37,16,28,45,29,17,0,46,30,18,1,47,31,19,2,48,32,14,3,43,24,15,25,44,26,40,27,12,3.1050184028715706
3,43,24,15,25,44,26,40,27,12,14,30,18,1,47,31,19,2,48,32,28,45,29,17,0,46,35,51,6,23,36,20,7,49,37,16,5,22,39,33,4,21,34,50,41,13,42,11,8,38,9,10,3.168399881063962
3,43,24,15,25,44,26,40,27,12,20,14,7,30,49,18,37,1,16,47,5,31,22,19,39,2,33,48,4,32,21,28,34,45,50,29,41,17,13,0,42,46,11,35,8,51,38,6,9,23,10,36,3.38786618677967
10,36,42,46,11,35,8,51,38,6,9,23,34,45,50,29,41,17,13,0,32,21,28,5,31,22,19,39,2,33,48,4,18,37,1,16,47,7,30,49,15,25,44,26,40,27,12,20,14,3,43,24,3.447719779007181
10,36,42,46,11,35,8,51,48,38,4,6,18,9,37,23,1,34,16,45,47,50,7,29,30,41,49,17,15,13,25,0,44,32,26,21,40,28,27,5,12,31,20,22,14,19,3,39,43,2,24,33,3.5412886501090655
14,19,3,39,43,2,24,33,20,22,28,27,5,12,31,0,44,32,26,21,40,50,7,29,30,41,49,17,15,13,25,47,1,34,16,45,9,37,23,8,51,48,38,4,6,18,10,36,42,46,11,35,3.584545199695128
14,19,3,39,15,43,13,2,25,24,47,33,1,20,34,22,16,28,45,27,9,5,37,12,23,31,8,0,51,44,48,32,38,26,4,21,6,40,18,50,10,7,36,29,42,30,46,41,11,49,35,17,3.361206679835057
49,35,17,36,29,42,30,46,41,11,26,4,21,6,40,18,50,10,7,8,0,51,44,48,32,38,9,5,37,12,23,31,28,45,27,47,33,1,20,34,22,16,2,25,24,43,13,19,3,39,15,14,3.3677412581733415
44,48,32,38,9,5,37,12,23,49,31,35,28,17,45,36,27,29,47,42,33,30,1,46,20,41,34,11,22,26,16,4,2,21,25,6,24,40,43,18,13,50,19,10,3,7,39,8,15,0,14,51,3.2217188949531885
7,39,8,15,0,14,51,24,40,43,18,13,50,19,10,3,6,4,2,21,25,46,20,41,34,11,22,26,16,47,42,33,30,1,35,28,17,45,36,27,29,49,31,44,48,32,38,9,5,37,12,23,3.3078876659458296
7,39,8,15,0,14,51,24,40,42,43,33,18,30,13,1,50,35,19,28,10,17,45,3,36,6,27,4,29,2,49,21,31,25,44,46,48,20,32,41,38,34,9,11,5,22,37,26,12,16,23,47,3.351144215531892
16,23,47,22,37,26,12,32,41,38,34,9,11,5,46,48,20,49,21,31,25,44,4,29,2,28,10,17,45,3,36,6,27,42,43,33,18,30,13,1,50,35,19,7,39,8,15,0,14,51,24,40,3.361206679835057
16,23,47,22,37,26,12,3,32,36,41,6,38,27,34,42,9,43,11,33,5,18,46,30,48,13,20,1,49,50,21,35,31,19,7,25,39,44,8,4,15,29,0,2,14,28,51,10,24,17,40,45,3.2916349514838648
40,45,29,0,2,14,28,51,10,24,17,39,44,8,4,15,19,7,25,1,49,50,21,35,31,33,5,18,46,30,48,13,20,42,9,43,11,27,34,3,32,36,41,6,38,37,26,12,16,23,47,22,3.294297315677786
40,45,29,0,2,14,28,51,10,24,17,39,44,20,8,42,4,9,15,43,19,11,7,27,25,34,1,3,32,49,36,50,41,21,6,35,38,31,37,33,26,5,12,18,16,46,23,30,47,48,22,13,3.341081751228728
47,48,22,13,37,33,26,5,12,18,16,46,23,30,31,41,21,6,35,38,50,34,1,3,32,49,36,9,15,43,19,11,7,27,25,39,44,20,8,42,4,45,29,0,2,14,28,51,10,24,17,40,3.377803722476506
32,49,36,9,15,47,43,48,19,22,11,13,7,37,27,33,25,26,39,5,44,12,20,18,8,16,42,46,4,23,45,30,29,31,0,41,2,21,14,6,28,35,51,38,10,50,24,34,17,1,40,3,3.5513511144122294
